,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
315,"[106,300]",92170,58,6249929,0.0006292719973961158,107757.39655172414,67808.71216230877
316,"[106,290]",93087,54,6249987,0.0005801024847723097,115740.5,67141.35163878952
317,"[106,280]",94015,55,6249994,0.0005850130298356645,113636.25454545455,66478.68957081316
318,"[106,270]",94910,58,6249983,0.000611105257612475,107758.3275862069,65851.68053945844
319,"[106,260]",95741,55,6249978,0.0005744665294910227,113635.96363636364,65280.05765554987
320,"[106,250]",96977,54,6249964,0.0005568330635099044,115740.07407407407,64447.90001752993
321,"[106,240]",98382,55,6249878,0.0005590453538248867,113634.14545454546,63526.641052225
322,"[106,230]",99519,55,6249950,0.000552658286357379,113635.45454545454,62801.57557853274
323,"[106,220]",101090,56,6249935,0.0005539618162033832,111605.98214285714,61825.452567019485
324,"[106,210]",102955,55,6249935,0.0005342139769802341,113635.18181818182,60705.5024039629
325,"[106,200]",104601,57,6249949,0.0005449278687584249,109648.22807017544,59750.375235418396
326,"[106,190]",106328,57,6249952,0.0005360770446166578,109648.28070175438,58779.92626589422
327,"[106,180]",108361,60,6249985,0.0005537047461725159,104166.41666666667,57677.4393001172
328,"[106,170]",110305,58,6249978,0.0005258147862744209,107758.24137931035,56660.87666016953
329,"[106,160]",112543,59,6249932,0.0005242440667122788,105931.05084745762,55533.72488737638
330,"[111,300]",91489,59,6249962,0.0006448862704806042,105931.55932203389,68313.80821738133
331,"[111,290]",92519,56,6249947,0.0006052810774003178,111606.19642857143,67553.11881883722
332,"[111,280]",93403,58,6249976,0.0006209650653619263,107758.20689655172,66914.08198880122
333,"[111,270]",94280,56,6249970,0.0005939753924480272,111606.60714285714,66291.57827747136
334,"[111,260]",95234,60,6249987,0.0006300270911649201,104166.45,65627.68549047608
335,"[111,250]",96428,58,6249976,0.0006014850458373087,107758.20689655172,64814.9500145186
336,"[111,240]",97502,61,6249983,0.0006256281922422105,102458.73770491804,64101.07484974667
337,"[111,230]",99103,56,6249962,0.0005650686659334228,111606.46428571429,63065.31588347477
338,"[111,220]",100546,54,6249936,0.0005370676108447874,115739.55555555556,62159.96658245977
339,"[111,210]",102260,55,6249945,0.0005378447095638569,113635.36363636363,61118.179151183256
340,"[111,200]",103958,56,6249927,0.0005386790819369361,111605.83928571429,60119.731045229804
341,"[111,190]",105520,59,6249970,0.0005591357088703563,105931.69491525424,59230.193328279
342,"[111,180]",107552,57,6249932,0.0005299761975602499,109647.9298245614,58110.792918774176
343,"[111,170]",109566,58,6249932,0.0005293612982129492,107757.44827586207,57042.62271142508
344,"[111,160]",111687,60,6249989,0.0005372156114856698,104166.48333333334,55959.8610402285
345,"[116,300]",91292,58,6249957,0.0006353240152477764,107757.87931034483,68461.16855803356
346,"[116,290]",92006,56,6249942,0.0006086559572201813,111606.10714285714,67929.72197465383
347,"[116,280]",92862,55,6249959,0.0005922767116796967,113635.61818181818,67303.73026641684
348,"[116,270]",93700,52,6249995,0.0005549626467449306,120192.21153846153,66702.18783351121
349,"[116,260]",94859,54,6249955,0.0005692659631663838,115739.9074074074,65886.78986706586
350,"[116,250]",95900,60,6249930,0.0006256517205422315,104165.5,65171.324296141815
351,"[116,240]",97074,56,6249996,0.0005768794939942724,111607.07142857143,64383.830891896905
352,"[116,230]",98316,58,6249946,0.0005899344969282722,107757.68965517242,63569.97843687701
353,"[116,220]",100088,53,6249979,0.0005295340100711374,117924.1320754717,62444.838542082965
354,"[116,210]",101426,57,6249986,0.0005619860785203005,109648.87719298246,61621.14250783822
355,"[116,200]",103033,60,6249974,0.0005823376976308561,104166.23333333334,60659.92449021187
356,"[116,190]",104796,58,6249968,0.00055345623878774,107758.06896551725,59639.375548685064
357,"[116,180]",106678,57,6249973,0.0005343182286882018,109648.64912280702,58587.27197735241
358,"[116,170]",108678,58,6249942,0.0005336866707153242,107757.62068965517,57508.805830066805
359,"[116,160]",110864,58,6249905,0.0005231635156588252,107756.9827586207,56374.521936787416
360,"[121,300]",90845,57,6249984,0.0006274423468545325,109648.84210526316,68798.32682040839
361,"[121,290]",91356,58,6249887,0.0006348789351547791,107756.6724137931,68412.44143789132
362,"[121,280]",92369,59,6249994,0.0006387424352325997,105932.10169491525,67663.32860591757
363,"[121,270]",93275,55,6249991,0.0005896542481908336,113636.2,67006.0680782632
364,"[121,260]",94185,58,6249948,0.0006158093114614853,107757.72413793103,66358.20990603599
365,"[121,250]",95207,55,6249974,0.0005776886153329062,113635.89090909091,65646.16047139392
366,"[121,240]",96387,56,6249981,0.0005809912125079108,111606.80357142857,64842.57213109652
367,"[121,230]",97698,58,6249973,0.0005936661958279596,107758.1551724138,63972.37405064587
368,"[121,220]",99229,58,6249847,0.0005845065454655393,107755.9827586207,62984.077235485594
369,"[121,210]",100785,58,6249913,0.0005754824626680558,107757.12068965517,62012.333184501666
370,"[121,200]",102443,56,6249998,0.0005466454516169967,111607.10714285714,61009.517487773686
371,"[121,190]",103979,57,6249937,0.000548187614806836,109648.01754385965,60107.68520566653
372,"[121,180]",105695,58,6249976,0.0005487487582194048,107758.20689655172,59132.18222243247
373,"[121,170]",107718,57,6249962,0.000529159471954548,109648.45614035087,58021.51915185949
374,"[121,160]",110041,57,6249936,0.0005179887496478585,109648.0,56796.430421388395
375,"[126,300]",90238,54,6249980,0.0005984175181187526,115740.37037037036,69261.06518318225
376,"[126,290]",90868,53,6249999,0.0005832636351630938,117924.50943396226,68781.07804727736
377,"[126,280]",91746,58,6249971,0.0006321801495433044,107758.12068965517,68122.54485209164
378,"[126,270]",92528,58,6249975,0.0006268372816877054,107758.18965517242,67546.8506830365
379,"[126,260]",93682,56,6249997,0.0005977669136013322,111607.08928571429,66715.02529834973
380,"[126,250]",94369,56,6249916,0.0005934152105034492,111605.64285714286,66228.4860494442
381,"[126,240]",95686,56,6249984,0.0005852475806283051,111606.85714285714,65317.64312438601
382,"[126,230]",97143,57,6249955,0.0005867638429943485,109648.33333333333,64337.677444591995
383,"[126,220]",98277,56,6249980,0.0005698179635112997,111606.78571428571,63595.5513497563
384,"[126,210]",99944,57,6249916,0.0005703193788521572,109647.64912280702,62534.17914031858
385,"[126,200]",101781,60,6249999,0.0005895009874141539,104166.65,61406.34303062458
386,"[126,190]",103157,56,6249974,0.0005428618513527924,111606.67857142857,60587.00815262173
387,"[126,180]",105022,60,6249925,0.0005713088686180039,104165.41666666667,59510.6263449563
388,"[126,170]",107049,60,6249941,0.000560490990107334,104165.68333333333,58383.926986707025
389,"[126,160]",109207,58,6249935,0.0005311014861684691,107757.5,57230.168395798806
390,"[131,300]",89737,55,6249965,0.0006129021473862509,113635.72727272728,69647.5812652529
391,"[131,290]",90441,59,6249978,0.0006523589964728386,105931.83050847458,69105.5826450393
392,"[131,280]",91332,56,6249939,0.0006131476371917838,111606.05357142857,68430.98804362108
393,"[131,270]",92045,57,6249910,0.0006192623173447771,109647.54385964913,67900.59210168938
394,"[131,260]",93150,59,6249988,0.0006333870101986045,105932.0,67095.95276435856
395,"[131,250]",93975,55,6249980,0.0005852620377760042,113636.0,66506.83692471402
396,"[131,240]",95042,60,6249997,0.000631299846383704,104166.61666666667,65760.36909997686
397,"[131,230]",96420,56,6249894,0.0005807923667288944,111605.25,64819.477286869944
398,"[131,220]",97648,59,6249956,0.0006042110437489759,105931.45762711864,64004.95657873177
399,"[131,210]",99283,56,6249985,0.0005640441968917136,111606.875,62951.21017696887
400,"[131,200]",100983,58,6249993,0.0005743540992048167,107758.5,61891.536199162234
401,"[131,190]",102380,55,6249993,0.0005372142996679039,113636.23636363636,61047.011134987304
402,"[131,180]",104246,56,6249999,0.000537190875429273,111607.125,59954.32918289431
403,"[131,170]",106152,57,6249965,0.0005369658602758309,109648.50877192983,58877.50584068129
404,"[131,160]",108410,57,6249916,0.0005257817544506965,109647.64912280702,57650.733327183836
405,"[136,300]",89355,56,6249924,0.000626713670191931,111605.78571428571,69944.8715796542
406,"[136,290]",89956,57,6249852,0.0006336431144114901,109646.52631578948,69476.76641913825
407,"[136,280]",90641,54,6249861,0.0005957568870599397,115738.16666666667,68951.80988735781
408,"[136,270]",91522,58,6249999,0.0006337274098031074,107758.60344827586,68289.58064727606
409,"[136,260]",92493,57,6249984,0.0006162628523239597,109648.84210526316,67572.50818980896
410,"[136,250]",93380,52,6249996,0.000556864424930392,120192.23076923077,66930.77746840865
411,"[136,240]",94477,55,6249937,0.0005821522698646231,113635.21818181819,66153.00020110715
412,"[136,230]",95743,57,6249961,0.0005953437849242243,109648.43859649122,65278.51644506648
413,"[136,220]",97010,57,6249981,0.0005875682919286671,109648.78947368421,64426.15194309865
414,"[136,210]",98545,60,6249934,0.0006088588969506317,104165.56666666667,63422.13202090416
415,"[136,200]",100061,59,6249938,0.0005896403194051628,105931.15254237287,62461.278620041776
416,"[136,190]",101602,58,6249950,0.0005708549044310151,107757.75862068965,61514.044999114194
417,"[136,180]",103385,56,6249939,0.0005416646515451952,111606.05357142857,60453.05411810224
418,"[136,170]",105286,56,6249984,0.000531884581045913,111606.85714285714,59361.96645327964
419,"[136,160]",107382,58,6249896,0.0005401277681548118,107756.8275862069,58202.454787580784
420,"[141,300]",88842,58,6249911,0.0006528443754080278,107757.08620689655,70348.60764053038
421,"[141,290]",89565,56,6249961,0.0006252442360296991,111606.44642857143,69781.28733322168
422,"[141,280]",90252,56,6249876,0.0006204848646013385,111604.92857142857,69249.16899348491
423,"[141,270]",90984,56,6249960,0.0006154928339048624,111606.42857142857,68692.95700342917
424,"[141,260]",91874,55,6249856,0.0005986459716568344,113633.74545454545,68026.38396064175
425,"[141,250]",92831,56,6249974,0.0006032467602417296,111606.67857142857,67326.36726955435
426,"[141,240]",93765,54,6249990,0.0005759078547432411,115740.55555555556,66655.89505679092
427,"[141,230]",94996,58,6249959,0.0006105520232430839,107757.91379310345,65791.81228683313
428,"[141,220]",96484,59,6249933,0.0006115003523900336,105931.06779661016,64776.88528667966
429,"[141,210]",97849,61,6249982,0.0006234095391879324,102458.72131147541,63873.74423857168
430,"[141,200]",99111,60,6249944,0.0006053818445984805,104165.73333333334,63060.043789286756
431,"[141,190]",100658,56,6249979,0.0005563392874883269,111606.76785714286,62091.22970851795
432,"[141,180]",102586,58,6249953,0.0005653792915212602,107757.81034482758,60924.034468640944
433,"[141,170]",104234,58,6249929,0.0005564403169791047,107757.39655172414,59960.559894084465
434,"[141,160]",106533,56,6249990,0.000525658716078586,111606.96428571429,58667.17355185717
435,"[146,300]",88379,57,6250000,0.0006449495920976703,109649.12280701754,70718.15702825332
436,"[146,290]",88873,57,6249930,0.0006413646439301026,109647.8947368421,70324.2829655801
437,"[146,280]",89722,57,6249917,0.0006352956911348387,109647.66666666667,69658.69017632242
438,"[146,270]",90555,57,6249998,0.0006294517144276959,109649.08771929824,69018.8062503451
439,"[146,260]",91415,58,6249829,0.0006344691790187606,107755.6724137931,68367.65301099382
440,"[146,250]",92266,57,6249940,0.0006177790301953049,109648.0701754386,67738.27845576919
441,"[146,240]",93218,56,6249870,0.0006007423458988607,111604.82142857143,67045.74223862344
442,"[146,230]",94320,54,6249908,0.0005725190839694657,115739.03703703704,66262.8074639525
443,"[146,220]",95660,58,6249979,0.0006063140288521848,107758.25862068965,65335.34392640602
444,"[146,210]",97031,58,6249967,0.0005977471117477919,107758.05172413793,64412.06418567262
445,"[146,200]",98419,57,6249976,0.000579156463690954,109648.70175438597,63503.75435637428
446,"[146,190]",99969,58,6249970,0.0005801798557552841,107758.10344827586,62519.08091508368
447,"[146,180]",101598,56,6249977,0.0005511919525974921,111606.73214285714,61516.73261284671
448,"[146,170]",103348,55,6249984,0.0005321825289313775,113636.07272727272,60475.13256182993
449,"[146,160]",105635,58,6249955,0.0005490604439816349,107757.8448275862,59165.5701235386
