,Bid Range,Number of Impressions,Number of Clicks,Spent Amount,CTR,CPC,CPM
84,"[26,210]",115674,55,6249943,0.00047547417742967304,113635.32727272727,54030.66376195169
85,"[26,200]",118810,57,6249999,0.00047975759616193924,109649.1052631579,52604.99116236007
86,"[26,190]",121188,56,6249993,0.00046209195629930356,111607.01785714286,51572.70521833845
87,"[26,180]",124303,60,6249892,0.00048269148773561377,104164.86666666667,50279.49446111518
88,"[26,170]",127627,66,6249963,0.0005171319548371426,94696.40909090909,48970.53914923958
89,"[26,160]",131558,64,6249994,0.00048647744720959577,97656.15625,47507.51759680141
90,"[31,300]",99678,57,6249998,0.0005718413290796364,109649.08771929824,62701.88005377315
91,"[31,290]",101084,60,6249918,0.0005935657472992758,104165.3,61828.95413715326
92,"[31,280]",102382,56,6249860,0.0005469711472719814,111604.64285714286,61044.51954445117
93,"[31,270]",103891,60,6249974,0.0005775283710812293,104166.23333333334,60158.955058667256
94,"[31,260]",104976,58,6249940,0.0005525072397500381,107757.58620689655,59536.84651729919
95,"[31,250]",107068,53,6249932,0.000495012515410767,117923.24528301887,58373.48227294804
96,"[31,240]",108672,51,6249994,0.00046930212014134273,122548.90196078431,57512.459511189634
97,"[31,230]",110555,62,6249897,0.0005608068382253177,100804.79032258065,56532.015738772556
98,"[31,220]",112819,54,6249991,0.0004786427818009378,115740.57407407407,55398.39034205231
99,"[31,210]",115029,58,6249994,0.0005042206747863582,107758.5172413793,54334.072277425694
100,"[31,200]",117802,53,6249919,0.00044990747185956096,117923.0,53054.43880409501
101,"[31,190]",120357,71,6249987,0.000589911679420391,88027.98591549296,51928.737007402975
102,"[31,180]",123389,58,6249998,0.0004700581089076012,107758.58620689655,50652.79725097051
103,"[31,170]",126760,64,6249980,0.0005048911328494793,97655.9375,49305.61691385295
104,"[31,160]",130403,67,6249983,0.0005137918606167036,93283.32835820895,47928.21484168309
105,"[36,300]",99449,53,6249937,0.0005329364800048266,117923.3396226415,62845.649528904265
106,"[36,290]",100396,51,6249962,0.0005079883660703613,122548.27450980392,62253.09773297741
